文章id,课程名称,站内信文案
2qo2flcx,15节一学就会的0基础手机Vlog课：随时随地，用vlog记录生活！,【美篇课堂】短视频怎么拍更好看？学会这几招，手把手教你用手机把生活拍出大片感>>
2qo2miqu,一个不“克”你的摄影课，解锁全部手机摄影密码,【美篇课堂】和老师一起学摄影，解锁全部手机摄影密码>>
2sagqdap,国民声音教练，教你科学练就好声音,【美篇课堂】国宝级语言艺术家告诉你，别让你的声音毁了你的形象>>
2saos8vn,粥左罗.零基础高效写作,【美篇课堂】为什么我鼓励人人都该学学写作>>
2scp4igs,零基础也能学好的书法课 ，15天轻松写出漂亮人生！,【美篇课堂】《甄嬛传》女主“书法照”曝光：深到骨子里的气质，30岁该有了>>
2shh8cvp,影响人生的24部文学经典，助你轻松应对困境,【美篇课堂】如果皮囊难以修复，让我们一起用思想，去填满它>>
2shdjmvm,杨洪基声乐大师课,【美篇课堂】《滚滚长江东逝水》的演唱者-著名歌唱家杨洪基老师，首次传授60年演唱秘籍>>
2shkfjb2,从零开始教你学摄影，为你讲解摄影基础的方方面面（适合新手）,【美篇课堂】刚踏入摄影圈不知如何起步？从零开始教你学摄影，你的第一堂摄影课>>
2shdvz7a,「相伴四季」古诗词特辑,【美篇课堂】诗书于我如故人，读书不觉已春深，你对古人诗词中的深意知多少呢>>
2shtbotf,古诗词杂志,【美篇课堂】50个深情故事，50段动人诗篇，听大仙老师为你解说一段不一样的历史，一段有人情味的历史>>
2si26ebx,央广主持人许川的17堂声音修炼课,【美篇课堂】你的声音，还有很大进步空间，和播音员只差一个科学的训练方法>>
2si2c03r,99个用得上的《道德经》智慧，全面升级你的人生,【美篇课堂】中国人最缺的5个大智慧，《道德经》早就讲透了（强烈推荐）>>
2si2ibh6,学好写字，个人魅力加百分！,【美篇课堂】从挑选笔墨教材到笔法技巧，名家几十年功底帮你练成一手可以纵横朋友圈的好字>>
2lmcbpp3,跟杨雨品读古诗词，腹有诗书气自华,【美篇课堂】容貌或许天赐，但气质一定可以练出来。从“毛丫头”变身“美女教授”，一起来看杨雨的读诗气质养成记>>
2tvmyexd,【董卿领读】知性女人必学的审美提升课：我们为什么爱宋朝,【美篇课堂】董卿告诉你：越活越高级的女人，都有这个共同点>>
